"Store_name","Address","Latitude","Longitude"
"Cavalier Cigar Shop and Lounge","505 University Drive East, College Station, TX, 77840",30.6317581,-96.3318055
"Kolache Rolf's","3525 Longmire Drive, College Station, TX, 77845",30.5819184,-96.2848522
"Kolache Rolf's","800 South Earl Rudder Freeway, College Station, TX, 77840",30.6399769,-96.3125081
"Shop-N-Go","1500 Holleman Drive, College Station, TX,77840",30.6083703,-96.3194942
"Maroon & white","1506 Holleman Drive, College Station, TX, 77840",30.6085583,-96.319272
"Ring Guards","",30.6252244,-96.3390932
"Brazos Running Co","1037 University Drive, College Station, TX, 77840",30.6244433,-96.3400625
"Market","",30.6228206,-96.3380279
"Costco Tire Center","",30.5669416,-96.2636103
"Costco Hearing Aid Center","",30.5674069,-96.263771
"Costco Optical","",30.5672967,-96.2636976
"Kung Fu Tea","",30.6260438,-96.3302631
"Supercuts","1519 Texas Avenue South, College Station, TX, 77840",30.6175571,-96.3204256
"Hobby Lobby","1903 Texas Avenue South, College Station, TX, 77840",30.6146988,-96.3162839
"Great Clips","1901 Texas Avenue South, College Station, TX, 77840",30.6143512,-96.3166617
"Tune Up: The Manly Salon","404 Jane Street, College Station, TX, 77840",30.6295965,-96.3349353
"Cutler2 Salon & Spa","2551 Texas Avenue South, College Station, TX, 77840",30.6060376,-96.306561
"Q Nails","2551 Texas Avenue South, College Station, TX, 77840",30.6061274,-96.3066653
"Harvey Washbangers","1802 Texas Avenue South, College Station, TX, 77840",30.6141742,-96.3190135
"FedEx Office","",30.6346978,-96.327794
"Uptown Cheapskate","2410 Texas Avenue South, College Station, TX, 77840",30.6071562,-96.3117355
"Hyperbole Bookstore","1275 Arrington Road, College Station, TX, 77845",30.5578295,-96.2653343
"Onward Reserve","166 Century Court, College Station, TX, 77840",30.6251007,-96.3395298
"Barnes & Noble","",30.6121705,-96.3412447
"All Phone Toys","",30.621343,-96.3437762
"Burdett & Son Outdoor Adventure Shop","",30.6222283,-96.3272607
"H-E-B","1900 Texas Avenue, College Station, TX, 77840",30.6164027,-96.3207986
"Target","2100 Texas Avenue South, College Station, TX, 77840",30.6100854,-96.3147515
"Walmart Supercenter","1815 Brothers Boulevard, College Station, TX, 77845",30.5971125,-96.3000775
"H-E-B","949 William D. Fitch Parkway, College Station, TX, 77845",30.5594439,-96.260821
"AT&T","917 William D. Fitch Parkway, College Station, , 77845",30.5574354,-96.261429
"H-E-B","11675 Wellborn Road, College Station, TX, 77845",30.5835721,-96.321889
"Midas","2715 Texas Avenue South, College Station, TX, 77840",30.6018185,-96.3015308
"EVIE + OAK","1255 Arrington Rd, 4000 College Station, Texas 77845",30.55898,-96.26317
"REI CO-OP","615 University Dr E, 300College Station, Texas 77840",30.632429,-96.330048
"AGGIELAND OUTFITTERS","303 University Drive E, College Station, Texas 77840",30.6301413,-96.3330679
"HULLABALOO AVE","312 George Bush Dr, College Station, Texas 77840",30.60533037,-96.33811631
"MAROON U","112 Holleman Drive, College Station, Texas 77840",30.59580629,-96.33340919
"MILITARY DEPOT","105 Walton Dr, College Station, Texas 77840",30.62348196,-96.32950629
"MSC BOOKSTORE @ TAMU","275 Joe Routt Blvd, College Station, Texas 77843",30.61222965,-96.34122291
"PRUITT'S FABRIC","318 George Bush Dr, College Station, Texas 77840",30.60537555,-96.33806696
"TEXAS AGGIELAND BOOKSTORE - UNIVERSITY DR","327 University Drive, College Station, Texas 77840",30.61751133,-96.34647873
"THE WAREHOUSE @ C.C. CREATIONS","114 Holleman Drive, College Station, Texas 77840",30.5958208,-96.33338297
"SABI BOUTIQU","520 University Drive E., College Station, Texas 77840",30.63141609,-96.33082697
"SECOND CHANCE RESALE","2041 Harvey Mitchell Pkwy. S, College Station, Texas 77840",30.59446982,-96.30845956
"ACADEMY SPORTS AND OUTDOORS","2511 Earl Rudder Freeway, College Station, Texas 77845",30.61423635,-96.28968422
"AL'S FORMAL WEAR","1100 Harvey Rd, College Station, Texas 77840",30.624327,-96.308342
"BEST BUY","805 Texas Ave,  College Station, Texas 77840",30.6259399,-96.32974231
"BROWN'S SHOES","2553 Texas Ave, College Station, Texas 77840",30.604615,-96.305544
"BURKE'S OUTLET","1200 Harvey Rd, College Station, Texas 77840",30.62488594,-96.30769471
"CARTERS","1505 University Dr. E , College Station, Texas 77840",30.6402262,-96.3154957
"DSW","2026 Texas Ave S, College Station, Texas 77840",30.6148817,-96.3188451
"SAM'S CLUB","1405 Earl Rudder Fwy S, College Station, Texas 77845",30.633761,-96.30326355
"T.J. MAXX","1128 A Harvey Road, College Station, Texas 77840",30.61514005,-96.31899945
"DILLARD'S","1500 Harvey Road, College Station, Texas 77840",30.62421335,-96.30275375
"AGGIELAND CYCLING","1705 Valley View Dr, College Station, Texas 77840",30.60107145,-96.30472418
"PRO SOCCER","1405 Harvey Rd, College Station, Texas 77840",30.62689166,-96.3056674
"SPEC'S	","1729 Texas Ave, College Station, Texas 77840",30.6175393,-96.32200925
